userId,movieId,rating,timestamp
69,2918,4.0,1121104575
275,929,4.0,1136710456
253,4022,4.0,1353744173
192,36525,4.0,1153930984
222,17,4.0,945070183
569,1645,4.0,1245982281
451,3412,4.0,1131361207
57,48780,4.0,1299381786
405,7323,4.0,1296440719
50,898,4.0,905249690
544,539,4.0,944941540
310,515,4.0,1142447640
564,95,4.0,957925254
292,44195,4.0,1190270925
467,480,4.0,1430452611
168,4027,4.0,1159239203
189,2788,4.0,1170025268
543,2546,4.0,995891432
117,1,4.0,851343558
405,6242,4.0,1296441130
597,1552,4.0,965155097
130,2505,4.0,941882507
576,101895,4.0,1446821135
458,2441,4.0,975780862
347,2336,4.0,1274978749
29,50,4.0,836583902
130,5298,4.0,1022692226
555,1124,4.0,875313756
610,1619,4.0,1303104184
501,1127,4.0,1042988517
336,56174,4.0,1248029626
354,950,4.0,965328588
109,2372,4.0,918641390
575,55290,4.0,1208192173
250,3683,4.0,1107160284
232,3617,4.0,1277408907
209,4975,4.0,1013140148
32,1015,4.0,903225640
164,44825,4.0,1440813643
495,2664,4.0,993844475
495,2528,4.0,993843735
668,6296,4.0,1093966850
331,1032,4.0,1138985148
560,3864,4.0,1067534421
267,1273,4.0,968990256
403,42738,4.0,1225993488
555,953,4.0,875312702
452,6502,4.0,1290765080
575,2467,4.0,939926249
383,4973,4.0,1214210785
376,2736,4.0,942194054
460,4025,4.0,1130278068
581,4995,4.0,1110287243
561,1784,4.0,948000645
581,2100,4.0,1110284737
223,2628,4.0,948940658
165,648,4.0,862302027
128,30810,4.0,1332523651
156,953,4.0,885581776
244,1678,4.0,953168748
274,1584,4.0,892800935
607,3977,4.0,974707939
63,4369,4.0,1299773570
357,3798,4.0,964452282
188,179,4.0,879098053
133,318,4.0,837546506
303,2502,4.0,976218543
255,1291,4.0,1174421105
668,6443,4.0,1427773520
422,1302,4.0,1074650312
458,905,4.0,975731090
118,2797,4.0,1045007361
607,4446,4.0,995553939
228,2735,4.0,1125608218
166,80463,4.0,1439764167
518,4226,4.0,1439913070
495,3753,4.0,993839472
600,3751,4.0,978215283
456,318,4.0,841927980
325,1291,4.0,1300117494
224,115569,4.0,1420876869
232,27537,4.0,1282530469
260,236,4.0,847822828
662,912,4.0,945173817
232,75985,4.0,1277408884
402,6808,4.0,1172482184
668,5989,4.0,1413089161
390,273,4.0,828804252
354,1247,4.0,965328795
283,247,4.0,868263691
599,4128,4.0,1424811527
564,733,4.0,957925008
605,2917,4.0,955376467
209,4995,4.0,1013139372
220,1188,4.0,1111995799
451,6534,4.0,1131361081
192,4069,4.0,1030748222
532,91529,4.0,1442002824
627,63222,4.0,1237932000
369,2700,4.0,941389923
232,38097,4.0,1296462443
570,593,4.0,833568179
